datetime,open,high,low,close
2025-11-26 09:15:00,26280.8,26443.1,26280.8,26443.0
2025-11-26 09:16:00,26443.0,26462.6,26443.0,26462.6
2025-11-26 09:17:00,26462.6,26462.6,26455.0,26455.0
2025-11-26 09:18:00,26455.0,26470.0,26455.0,26470.0
2025-11-26 09:19:00,26470.0,26490.0,26470.0,26490.0
2025-11-26 09:20:00,26490.0,26495.0,26480.0,26480.1
2025-11-26 09:21:00,26480.1,26490.0,26480.1,26485.0
2025-11-26 09:22:00,26485.0,26494.9,26485.0,26494.0
2025-11-26 09:23:00,26494.0,26494.0,26480.0,26480.0
2025-11-26 09:24:00,26480.0,26483.0,26476.5,26483.0
2025-11-26 09:25:00,26483.0,26484.9,26471.5,26472.7
2025-11-26 09:26:00,26472.7,26485.0,26472.7,26485.0
2025-11-26 09:27:00,26485.0,26489.7,26480.0,26489.7
2025-11-26 09:28:00,26489.7,26489.7,26478.5,26478.5
2025-11-26 09:29:00,26481.2,26494.0,26481.2,26490.0
2025-11-26 09:30:00,26490.0,26490.0,26489.2,26490.0
2025-11-26 09:31:00,26490.0,26494.0,26490.0,26490.5
2025-11-26 09:32:00,26490.5,26495.0,26490.5,26495.0
2025-11-26 09:33:00,26495.0,26500.8,26495.0,26500.8
2025-11-26 09:34:00,26500.8,26519.8,26500.8,26519.8
2025-11-26 09:35:00,26519.8,26519.8,26517.9,26517.9
2025-11-26 09:36:00,26517.9,26517.9,26510.0,26515.0
2025-11-26 09:37:00,26515.0,26515.0,26511.0,26511.0
2025-11-26 09:38:00,26511.0,26511.0,26501.0,26501.0
2025-11-26 09:39:00,26501.0,26501.0,26500.0,26500.0
2025-11-26 09:40:00,26500.0,26500.0,26498.0,26498.0
2025-11-26 09:41:00,26498.0,26501.0,26498.0,26501.0
2025-11-26 09:42:00,26501.0,26505.0,26501.0,26505.0
2025-11-26 09:43:00,26505.0,26528.9,26505.0,26528.9
2025-11-26 09:44:00,26528.9,26529.0,26525.0,26529.0
2025-11-26 09:45:00,26529.0,26546.9,26529.0,26546.9
2025-11-26 09:46:00,26546.9,26546.9,26546.9,26546.9
2025-11-26 09:47:00,26546.9,26555.0,26545.0,26555.0
2025-11-26 09:48:00,26555.0,26555.0,26550.0,26550.0
2025-11-26 09:49:00,26550.0,26550.0,26545.1,26545.1
2025-11-26 09:50:00,26545.1,26575.0,26545.1,26575.0
2025-11-26 09:51:00,26575.0,26586.0,26575.0,26580.0
2025-11-26 09:52:00,26580.0,26590.0,26580.0,26589.9
2025-11-26 09:53:00,26589.9,26589.9,26580.0,26580.0
2025-11-26 09:54:00,26580.0,26583.0,26580.0,26583.0
2025-11-26 09:55:00,26583.0,26595.0,26583.0,26595.0
2025-11-26 09:56:00,26595.0,26595.0,26579.8,26579.8
2025-11-26 09:57:00,26579.8,26590.0,26579.8,26581.4
2025-11-26 09:58:00,26581.4,26588.9,26579.1,26579.1
2025-11-26 09:59:00,26579.1,26587.3,26579.1,26587.3
2025-11-26 10:00:00,26587.3,26590.0,26585.4,26590.0
2025-11-26 10:01:00,26590.0,26595.5,26590.0,26595.5
2025-11-26 10:02:00,26595.5,26595.5,26595.0,26595.0
2025-11-26 10:03:00,26595.0,26595.0,26588.3,26588.3
2025-11-26 10:04:00,26588.3,26588.3,26581.0,26588.0
2025-11-26 10:05:00,26588.0,26591.0,26585.0,26591.0
2025-11-26 10:06:00,26591.0,26599.0,26591.0,26592.8
2025-11-26 10:07:00,26592.8,26592.8,26590.0,26592.8
2025-11-26 10:08:00,26592.8,26595.0,26592.1,26592.1
2025-11-26 10:09:00,26592.1,26595.7,26592.1,26595.7
2025-11-26 10:10:00,26595.7,26595.7,26595.7,26595.7
2025-11-26 10:11:00,26595.7,26595.7,26575.0,26575.0
2025-11-26 10:12:00,26575.0,26585.0,26574.8,26585.0
2025-11-26 10:13:00,26585.0,26593.0,26578.0,26593.0
2025-11-26 10:14:00,26593.0,26593.4,26593.0,26593.4
2025-11-26 10:15:00,26593.4,26593.4,26593.4,26593.4
2025-11-26 10:16:00,26593.4,26593.4,26586.1,26586.1
2025-11-26 10:17:00,26586.1,26590.0,26585.9,26590.0
2025-11-26 10:18:00,26590.0,26593.8,26581.6,26581.6
2025-11-26 10:19:00,26581.6,26581.6,26581.6,26581.6
2025-11-26 10:20:00,26581.6,26581.8,26581.6,26581.8
2025-11-26 10:21:00,26581.8,26584.0,26580.0,26584.0
2025-11-26 10:22:00,26584.0,26590.0,26580.0,26590.0
2025-11-26 10:23:00,26590.0,26590.0,26590.0,26590.0
2025-11-26 10:24:00,26590.0,26590.0,26582.0,26582.0
2025-11-26 10:25:00,26582.0,26582.0,26580.0,26580.0
2025-11-26 10:26:00,26580.0,26585.0,26580.0,26580.0
2025-11-26 10:27:00,26580.0,26580.0,26580.0,26580.0
2025-11-26 10:28:00,26580.0,26580.0,26568.4,26568.4
2025-11-26 10:29:00,26568.4,26568.4,26568.3,26568.4
2025-11-26 10:30:00,26568.4,26579.9,26568.4,26568.9
2025-11-26 10:31:00,26568.9,26568.9,26566.9,26566.9
2025-11-26 10:32:00,26567.0,26580.0,26567.0,26580.0
2025-11-26 10:33:00,26580.0,26580.0,26572.1,26573.2
2025-11-26 10:34:00,26573.2,26573.2,26573.2,26573.2
2025-11-26 10:35:00,26573.2,26576.0,26573.2,26576.0
2025-11-26 10:36:00,26576.0,26578.0,26575.0,26575.0
2025-11-26 10:37:00,26575.0,26579.9,26575.0,26579.9
2025-11-26 10:38:00,26579.9,26589.0,26579.9,26589.0
2025-11-26 10:39:00,26589.0,26589.0,26583.0,26583.0
2025-11-26 10:40:00,26583.0,26590.0,26583.0,26590.0
2025-11-26 10:41:00,26590.0,26590.0,26589.9,26589.9
2025-11-26 10:42:00,26589.9,26589.9,26589.9,26589.9
2025-11-26 10:43:00,26589.9,26589.9,26586.0,26586.0
2025-11-26 10:44:00,26586.0,26586.1,26586.0,26586.1
2025-11-26 10:45:00,26586.1,26600.0,26586.1,26600.0
2025-11-26 10:46:00,26600.0,26604.0,26597.6,26604.0
2025-11-26 10:47:00,26604.0,26620.0,26604.0,26620.0
2025-11-26 10:48:00,26620.0,26625.0,26620.0,26625.0
2025-11-26 10:49:00,26625.0,26625.0,26620.0,26620.0
2025-11-26 10:50:00,26620.0,26624.8,26620.0,26620.0
2025-11-26 10:51:00,26620.0,26620.0,26620.0,26620.0
2025-11-26 10:52:00,26620.0,26620.0,26608.9,26608.9
2025-11-26 10:53:00,26608.9,26608.9,26600.0,26600.0
2025-11-26 10:54:00,26600.0,26600.0,26600.0,26600.0
2025-11-26 10:55:00,26600.0,26605.0,26600.0,26605.0
